temp,tests,stresses (Mpa),time (s),A,n,M,phi,chi
800,G32;G33;G44;G25,60;65;70;80,4798,6.37573E-17,7.643720763,2.32596E-16,17.01786425,5.9171705
800,G32;G33;G44;G25,60;65;70;80,4678,5.78482E-17,7.673956452,2.45642E-16,18.05959685,5.89513983
800,G32;G33;G44;G25,60;65;70;80,4577,6.69264E-17,7.636481631,1.9717E-16,17.35208967,5.958055465
800,G32;G33;G44;G25,60;65;70;80,4587,6.97289E-17,7.633081889,1.42727E-16,19.13810678,6.015664384
800,G32;G33;G44;G25,60;65;70;80,4565,7.05495E-17,7.628698233,2.60528E-16,18.11617555,5.87894047
800,G32;G33;G44;G25,60;65;70;80,4295,8.86971E-17,7.577796952,2.15507E-16,18.65036409,5.913281594
800,G32;G33;G44;G25,60;65;70;80,4348,1.13028E-16,7.520615918,2.94127E-16,18.70542559,5.841858739
800,G32;G33;G44;G25,60;65;70;80,4373,7.44964E-17,7.618459906,4.71703E-16,18.98028338,5.724640599
800,G32;G33;G44;G25,60;65;70;80,4589,1.06906E-16,7.53317417,3.84761E-16,17.22200281,5.799448368
800,G32;G33;G44;G25,60;65;70;80,4581,1.20518E-16,7.503407068,1.9443E-16,17.99128031,5.946686558
800,G44;G25,70;80,2294,1.46114E-17,7.984496359,1.66972E-16,15.97528135,6.019695858
800,G44;G25,70;80,2415,1.38091E-16,7.472169612,2.73613E-16,18.67355497,5.859196314
800,G44;G25,70;80,2467,3.19359E-16,7.280820941,6.39875E-16,17.62163146,5.667944476
800,G44;G25,70;80,2534,5.53264E-17,7.68433553,1.10118E-16,16.27983552,6.11208509
800,G44;G25,70;80,2365,1.4707E-16,7.465375141,2.34077E-16,19.08623403,5.894604606
800,G44;G25,70;80,2552,6.70402E-17,7.640165475,1.77042E-16,17.49884296,5.978682168
800,G44;G25,70;80,2575,7.98706E-17,7.602126855,3.30622E-16,19.09569524,5.810439131
800,G44;G25,70;80,2574,3.23041E-16,7.285455172,6.8695E-16,22.60474706,5.593262788
800,G44;G25,70;80,2567,5.88994E-17,7.675934211,5.26265E-16,19.16942533,5.696858413
800,G44;G25,70;80,2575,4.4412E-17,7.733716369,1.63013E-16,18.41490042,5.982511381
900,G59;G45;G50;G22,26;28;31;36,3311,6.30829E-10,4.669437839,4.37248E-13,16.37431465,5.116070008
900,G59;G45;G50;G22,26;28;31;36,3279,7.5529E-10,4.634426359,1.52848E-12,61.13595325,4.302287742
900,G59;G45;G50;G22,26;28;31;36,3273,7.37293E-11,5.280903919,8.95057E-11,21.47103219,3.448725684
900,G59;G45;G50;G22,26;28;31;36,3268,9.33512E-10,4.541807742,2.47211E-13,11.72505759,5.405202818
900,G59;G45;G50;G22,26;28;31;36,3289,1.94129E-11,5.638626476,1.6577E-11,11.99230357,4.221915174
900,G59;G45;G50;G22,26;28;31;36,3294,9.17196E-10,4.585563144,5.73031E-13,20.11363892,4.948750342
900,G59;G45;G50;G22,26;28;31;36,3296,7.37293E-11,5.280903919,8.95057E-11,21.47103219,3.448725684
900,G59;G45;G50;G22,26;28;31;36,3299,7.52209E-11,5.237841616,9.36395E-10,9.490339366,3.130431985
900,G59;G45;G50;G22,26;28;31;36,3262,4.04756E-10,4.813600474,6.78834E-14,44.7724468,5.351474168
900,G59;G45;G50;G22,26;28;31;36,3301,7.18628E-11,5.3034319,1.405E-13,17.07220821,5.42122186
900,G50;G22,31;36,2296,3.74E-11,5.46820795,1.77E-12,14.5950663,4.76055633
900,G50;G22,31;36,2281,8.84E-11,5.22668338,1.49E-12,13.1771728,4.83839797
900,G50;G22,31;36,2284,2.34E-11,5.59532111,1.39E-12,15.0195124,4.81713589
900,G50;G22,31;36,2285,4.70E-11,5.40698582,4.31E-13,13.8977224,5.1728001
900,G50;G22,31;36,2292,3.10E-11,5.52014429,1.26E-12,15.1901451,4.83710887
900,G50;G22,31;36,2320,3.01E-11,5.53121462,9.35E-13,15.4664243,4.92667388
900,G50;G22,31;36,2441,3.64E-11,5.47323099,1.15E-12,14.1134102,4.88867072
900,G50;G22,31;36,2506,3.22E-11,5.50702479,1.13E-12,14.3220973,4.89652768
900,G50;G22,31;36,2589,7.31E-11,5.2785178,2.03E-12,14.9135663,4.71411147
900,G50;G22,31;36,2370,3.77E-11,5.46305818,1.07E-12,13.4206412,4.92318461
1000,G39;G52;G30;G18,11;12;13;16,3331,2.98601E-07,3.618120372,3.72702E-11,5.709441599,5.088142911
1000,G39;G52;G30;G18,11;12;13;16,3319,4.54421E-08,4.368443455,1.26257E-11,7.65129982,5.449203377
1000,G39;G52;G30;G18,11;12;13;16,3309,4.79156E-07,3.454267578,1.66834E-11,6.604695612,5.396563859
1000,G39;G52;G30;G18,11;12;13;16,3316,3.26588E-08,4.403278896,2.00378E-10,4.823357561,4.690292511
1000,G39;G52;G30;G18,11;12;13;16,3295,1.54601E-06,3.140229014,6.32599E-11,39.36607775,4.126568969
1000,G39;G52;G30;G18,11;12;13;16,3334,6.43787E-08,4.128895359,1.78581E-10,6.331202494,4.413563689
1000,G39;G52;G30;G18,11;12;13;16,3320,3.0772E-07,3.630817314,5.73006E-11,4.792666411,5.118025126
1000,G39;G52;G30;G18,11;12;13;16,3317,1.19877E-07,3.933422784,1.20252E-10,5.607779414,4.673865249
1000,G39;G52;G30;G18,11;12;13;16,3309,2.1649E-07,3.746812729,2.76702E-11,5.607259476,5.393742397
1000,G39;G52;G30;G18,11;12;13;16,3303,1.91198E-07,3.825534906,4.83564E-11,8.470372842,4.819682972
1000,G30;G18,13;16,2351,4.78493E-08,4.232752046,4.53011E-11,5.278493718,5.117067406
1000,G30;G18,13;16,2345,2.82242E-08,4.467679397,5.13611E-11,5.512214731,5.084119992
1000,G30;G18,13;16,2337,2.71246E-08,4.449716661,1.14167E-10,5.464269522,4.791048781
1000,G30;G18,13;16,2331,1.1991E-07,4.00297352,8.0975E-11,8.208278377,4.659863608
1000,G30;G18,13;16,2288,7.40752E-08,4.181076539,4.53136E-11,9.167537706,4.840948417
1000,G30;G18,13;16,2342,2.82263E-08,4.457429253,8.08983E-11,5.585087668,4.892863944
1000,G30;G18,13;16,2348,5.899E-08,4.202423165,1.68483E-10,5.211410082,4.65617748
1000,G30;G18,13;16,2344,1.21351E-07,3.992024497,9.59412E-11,7.493293246,4.632696931
1000,G30;G18,13;16,2326,2.75765E-08,4.475264337,4.77875E-11,5.451751405,5.135746654
1000,G30;G18,13;16,2299,2.37577E-08,4.518668886,7.62745E-11,5.456850326,4.921416636
